Participant,Event Duration [ms],Saccade Start Position X [px],Saccade Start Position Y [px],Saccade End Position X [px],Saccade End Position Y [px],Saccade Amplitude [°],Saccade Acceleration Average [°/s²],Saccade Acceleration Peak [°/s²],Saccade Deceleration Peak [°/s²],Saccade Velocity Average [°/s],Saccade Velocity Peak [°/s],Saccade Peak Velocity at [%],Label
calvin (1),115.8,189,61.2,-47.9,-317.7,2,43077.5,120585.8,3551,562.9,1299.4,28.6,B
calvin (1),49.4,171.7,28.3,308.4,201.8,1.8,22287.1,33420.1,816.9,225,589.2,33.2,B
calvin (1),49.6,232.3,135.6,282.4,194,0.7,9687.3,15330.1,0.7,92.5,240,32.8,B
calvin (1),49.8,259.7,147.9,174.3,45.6,1.1,10036.9,16752.3,1006.9,122.9,282.9,34.2,B
calvin (1),49.8,179.1,50.1,287.7,177.7,1.5,18042.5,27081.9,1.2,155,452.5,33.5,B
calvin (1),116.4,254.2,185,30.3,-127.7,2.4,16500,44209.3,2963.1,202.9,770.5,28.9,B
calvin (1),49.7,66.9,-80.6,195.6,90.6,1.2,25177.1,39765,326.4,217,602.2,32.4,B
calvin (1),50.1,192.5,81.4,63.6,-86.9,1,23382.6,34268.2,3850,210.7,577.9,33.3,B
calvin (1),50,57.3,-101.4,204.1,93.7,0.7,19640.5,34961.8,11.3,241.8,535.4,33.3,B
calvin (1),49.8,193.1,78.7,143.9,14.8,0.5,11561.6,19837.6,28.6,126,283.1,33,B
calvin (1),49.9,109.1,-42.2,173.7,41.5,0.6,14636.3,23146.3,1782.1,138.7,341.4,33.5,B
calvin (1),66.6,166,29.3,94.6,-71.2,0.7,6874.5,13294.3,1858.1,105.4,218.5,50.6,B
calvin (1),66,99,-65.8,-6.8,-225.7,0.7,16731.7,34124.7,5.8,147.7,543.4,50.1,B
calvin (1),50,18.9,-192,118.2,-39.5,0.7,21880.6,34441.8,271.7,193,532.3,33.9,B
calvin (1),49.8,58.2,-139.5,229.5,95.3,1.5,32447,48897.7,2246.7,286.7,810.9,33.3,B
calvin (1),49.6,52.7,-179.7,1.3,-272.4,0.5,8694.8,13612.2,24.5,115.8,259.2,33.5,B
calvin (1),182.3,448.1,106.9,233,-0.2,9.9,10527.1,30411.8,327.8,153.7,461,18.1,B
calvin (1),66.9,397,231.6,488.5,355.6,1.5,13020.7,27711.3,268.6,139,429.9,49.6,B
calvin (1),49.7,436.1,289.4,511.7,372.7,1.6,15546.4,23793.7,8.7,140.6,357.1,33.3,B
calvin (1),66.1,473.4,327.2,565.7,477.6,2.3,14929.2,30462.5,1.4,136.9,487.4,50,B
calvin (1),49.9,491.7,354.4,440.8,287.4,1.4,2286.6,6351,249.7,117.1,118.5,0,B
calvin (1),49.6,408.1,250.7,365.7,183.4,0.6,9020.1,14196.1,33.5,81.8,226.4,33.6,B
calvin (1),630.5,429.1,449.2,447.1,36.8,20,175886.4,1786130.6,19.1,2349.9,23150.5,73.7,B
calvin (1),663.8,511.4,147.5,579.7,2903.8,14.4,296881.5,4656633.4,93.2,4437.2,39554.4,60,B
calvin (1),1543.4,926.6,3231.6,567.6,556.6,16.7,772494.3,18568895.2,6,9279.3,157516.7,44.1,B
calvin (1),3302.4,585.2,427.1,625.4,2922.1,15.7,291535.6,7514524.6,3.6,4433,86905.7,72.9,B
calvin (1),182.4,172.5,67.6,-231.3,-482.7,3.3,38805.3,171879.8,168.5,371.3,2886,18.1,B
calvin (1),66.5,-299.5,-575.7,-188.8,-389.7,0.4,10809.2,20109.4,228.1,206.4,360,49.7,B
calvin (1),614.1,0.8,-117.4,342.3,-53.9,19.9,545703.7,3195633.2,436.4,7219.2,33319.3,56.7,B
calvin (1),49.9,350.9,282.3,285.3,194.6,1.4,11093.1,15923.1,1483.7,111.5,285.7,32.9,B
calvin (1),50,288.4,185.7,332.3,234.1,1,2741.2,6199.1,95.7,61.6,105.8,33.4,B
calvin (1),66.3,360.8,267.4,285.1,170.4,1.4,6267.7,11907.6,3.2,85,219.3,50.5,B
calvin (1),49.2,308.4,191.9,335.2,223.2,1,4093.5,6342.2,167.1,74.4,110.1,33.3,B
calvin (1),66.4,319.9,194,85.4,-116.8,2.6,22062.3,43274.2,6.6,269.4,753.6,50.3,B
calvin (1),82.9,85.1,-122.4,330.2,202,3,24614,58293,2.4,250.8,983.9,40.3,B
calvin (1),82.8,110.1,-58.4,224.8,89.8,1.3,13882.8,23372.8,8437.1,171.6,369.6,40.5,B
calvin (1),66.2,165.4,-4.7,-103.6,-419.2,1.7,38472.5,80822.3,937.8,474.5,1147.1,49.7,B
calvin (1),714.1,77.8,-120.9,207.5,67.9,1.3,7569438.3,144577306.3,5.2,82950.4,1547283.4,46.5,B
calvin (1),50,142.6,-29,228.9,87.6,1,7963.8,15108.1,1835.1,139.6,260.8,32.7,B
calvin (1),978.7,238,93.1,582,452.5,15,453767.3,3541511,18.3,5974.7,35349.9,84.8,B
calvin (1),49.2,323,242.4,377.1,331.3,1.6,10001.3,15548,54.4,107.2,271.8,33.8,B
calvin (1),83.1,372.1,353.3,103.6,-26.2,4.3,18342.6,43269.8,1740.7,267.3,771.6,39.8,B
calvin (1),66.2,90.3,-62.6,265.5,163.4,1.9,12386.3,24981,37.3,143.1,407.9,49.6,B
calvin (1),49.8,216.8,111.9,250.8,145.6,0.5,1982.2,3059.3,707.1,47.1,91.3,66.7,B
calvin (1),66.7,229.5,114.7,343,258.9,1.6,11783.9,21715.4,1.5,153.9,362.6,25.3,B
calvin (1),66.2,357.9,264.3,214.5,87.8,2.5,13287.8,27135,61,164.4,468.8,50.5,B
calvin (1),66.6,367,355.8,161,73.4,3.5,20223.6,37834.8,2055.7,245.9,685.7,50.2,B
calvin (1),66.3,427.3,115.8,626.7,511.1,4.9,28464.9,48109.3,2894.2,366.6,800.6,25.6,B
calvin (1),730.4,598.8,379.5,476.1,322,7.2,2485863,47241826.4,292.7,30085.9,496543,70.4,B
calvin (1),116.3,512.1,360.6,401.7,59.8,7.5,14283.2,36376.1,7.5,189.7,631.9,28.8,B
calvin (1),99.4,408,99,111.8,-222.8,8.4,43381.2,127920.2,98.8,467.6,1904.1,32.9,B
calvin (1),50,199.1,-89.9,410,240.3,1.8,42695.8,64449.8,11123.6,419.3,1060.1,33.5,B
calvin (1),49.8,151.6,-182.8,388,201.6,1.8,49916.9,81430.7,3622,474.6,1178.5,32.9,B
calvin (1),498.1,322.5,113.2,537.1,634.6,9.1,3704737.5,45936274,514.8,44752.4,604255.5,33.3,B
calvin (1),50.1,521.9,506.1,541.2,528.8,1.8,1275.7,3438.9,19.6,40.7,44.2,65.9,B
calvin (1),66.1,538.4,537.4,507.9,494,2.2,6914.8,10852.9,366.2,129.9,173.5,24.6,B
calvin (1),614.2,587.5,693.9,475.9,1155,2.6,329831.2,2594886,1241.1,5150,29867.6,56.7,B
calvin (1),946.1,562.6,812,320.5,220.9,4.7,560246.4,7807691,11.8,7274.4,100392.7,68.4,B
calvin (1),66.7,324.9,219.4,186.5,40.3,2.4,11296.2,22365.8,461.1,264.5,347.6,0,B
calvin (1),232.5,384.7,299.4,255,135.5,1.4,24634,89178.8,2252.2,275.3,1074.8,50,B
calvin (1),50.2,286,176.6,212,80.8,1.5,18126.8,28591.9,62.3,301.1,415.1,0,B
calvin (1),133,326.7,243.1,205.7,76.8,1,11759,27336.3,316.8,222,404,24.9,B
calvin (1),464.7,339.7,252.5,333.7,273.7,2.5,83672.9,484939.8,2,1288.7,5058.3,82.1,B
calvin (1),282,397.8,338.9,176.6,-0.5,3.2,10600.9,33858.3,13.4,130.2,609.6,53,B
calvin (1),2605.2,208.2,43.2,-113.9,-669.3,4,1139675.2,17155401.7,73.3,16996.4,177452.9,84.7,B
calvin (1),1493.3,-99.8,-629.7,881.9,3164.8,4.1,482708.1,5556001.2,66.6,8170.9,90078.5,81.1,B
calvin (1),398.1,360.5,7.3,201.1,139.1,16.7,83405.4,567784.1,202.3,1380.6,7796.1,24.9,B
calvin (1),49.9,232.9,150,234.1,182.5,1.5,6062.6,10904.9,3184,76.1,123.9,66.7,B
calvin (1),1626.5,407.2,391.2,121.6,66,3.4,483201.7,12855922.3,62.9,6528.1,123509.3,35.7,B
calvin (1),66.9,394.6,395,292.9,279.9,0.9,10373.4,19357.3,171.7,120.9,314.6,49.9,B
calvin (1),66.1,355.5,346.4,305.5,283.5,1.3,8632.8,14235.4,63.9,169.2,222.7,24.9,B
calvin (1),66.4,387.4,381.8,168.3,96.6,1.9,34017.6,70648.3,1260.4,294.6,1058.7,50.3,B
calvin (1),66.1,209.6,140.1,-4.2,-203.9,1,35236.4,73405.2,225.3,345.2,1125.9,49.9,B
calvin (1),730.3,-1618.8,-3624.4,494.7,148.9,17.4,182392.9,1577278.4,1.1,2064.4,23153,6.8,B
calvin (1),464.7,522.3,190.1,353,325.2,18.1,68222,532823.6,13.1,845.6,9346.4,39.4,B
calvin (1),66.4,265.9,193,305.6,246.3,0.9,7515.2,13032.7,2250.9,63,200,50.2,B
calvin (1),66.4,266.7,202.9,107.2,13.3,2.9,12420,21754.4,408.9,219.4,432.4,50.2,B
calvin (1),862.8,168.9,89.2,7.4,-366.4,7.8,764947.6,7693436.5,140.5,10645.6,73867.3,84.6,B
calvin (1),265.5,-46.9,-444.7,234.6,-118,7.4,11134.2,33346.8,18,129.4,463.4,75.2,B
calvin (1),282,270.6,-58.9,63,-213.1,8,123444.3,858768.2,89.7,1192.2,9849.2,11.7,B
calvin (1),348.6,-164.8,-659.9,378.2,462.4,11,778031.8,7162571,55.7,8742.6,87243.4,47.6,B
calvin (1),99.3,133,51.3,356.8,336.4,3.8,28588.5,63037.5,1760.2,344.8,1098.7,49.8,B
calvin (1),66.1,337,293.3,402.7,456.3,2.2,13190,25543.2,46,126.7,442.9,49.4,B
calvin (1),100.1,406.5,429.4,114.2,0.8,4.8,17477.7,40839.5,1602.3,278.9,803.4,33.1,B
calvin (1),66.1,180,89.6,427.2,477.8,4.5,21282.4,42157.6,1787.9,343.2,714.8,49.8,B
calvin (1),614.3,365.6,374.5,965.5,3293.5,13,481101.7,6075055.6,16.2,6198.4,75468.7,46,B
calvin (1),647.3,1263.6,3822.5,915.3,3215.5,1,50362.3,448845.1,42.8,952.7,5185.2,48.7,B
